date,price
11-07-2019,23800
11-07-2019,15800
12-07-2019,58000
13-07-2019,14800
13-07-2019,15600
13-07-2019,15800
13-07-2019,15800
13-07-2019,14000
13-07-2019,19100
13-07-2019,22300
14-07-2019,15300
14-07-2019,27600
14-07-2019,26300
14-07-2019,19800
14-07-2019,18300
14-07-2019,15600
14-07-2019,23600
14-07-2019,20100
14-07-2019,25600
14-07-2019,19800
15-07-2019,15100
15-07-2019,15800
17-07-2019,17800
17-07-2019,14800
17-07-2019,23400
17-07-2019,18100
19-07-2019,14800
19-07-2019,15800
19-07-2019,21800
19-07-2019,20600
19-07-2019,14800
19-07-2019,15100
19-07-2019,58000
19-07-2019,35900
20-07-2019,15800
20-07-2019,18800
20-07-2019,22800
20-07-2019,16400
20-07-2019,15800
20-07-2019,26300
20-07-2019,14800
20-07-2019,15800
20-07-2019,20500
20-07-2019,18600
20-07-2019,17800
21-07-2019,18600
21-07-2019,17300
21-07-2019,17800
21-07-2019,14800
21-07-2019,16100
21-07-2019,21000
21-07-2019,19300
21-07-2019,22300
21-07-2019,18300
21-07-2019,15300
21-07-2019,15100
22-07-2019,15600
22-07-2019,19300
22-07-2019,18300
22-07-2019,18300
22-07-2019,16600
22-07-2019,14800
22-07-2019,26000
22-07-2019,19600
22-07-2019,18600
24-07-2019,16400
24-07-2019,27100
24-07-2019,18800
24-07-2019,25400
24-07-2019,26300
24-07-2019,16100
24-07-2019,16100
24-07-2019,16400
24-07-2019,15000
25-07-2019,18600
25-07-2019,26800
25-07-2019,35000
25-07-2019,38000
25-07-2019,23100
25-07-2019,17300
25-07-2019,19600
25-07-2019,15300
25-07-2019,16100
25-07-2019,14300
25-07-2019,15100
25-07-2019,20000
26-07-2019,25300
26-07-2019,73200
26-07-2019,22800
26-07-2019,12930
26-07-2019,15000
26-07-2019,20800
26-07-2019,25900
26-07-2019,28100
26-07-2019,15800
26-07-2019,35000
26-07-2019,22100
26-07-2019,16100
27-07-2019,18800
27-07-2019,21800
27-07-2019,18600
27-07-2019,33200
27-07-2019,22800
27-07-2019,17000
27-07-2019,16400
27-07-2019,14800
27-07-2019,32600
28-07-2019,17300
28-07-2019,14800
28-07-2019,14800
28-07-2019,14300
28-07-2019,14800
28-07-2019,25600
28-07-2019,19500
29-07-2019,24800
29-07-2019,24100
28-07-2019,15800
29-07-2019,14800
29-07-2019,14800
29-07-2019,18300
29-07-2019,27900
29-07-2019,15800
29-07-2019,18100
29-07-2019,28000
29-07-2019,28000
31-07-2019,15600
31-07-2019,30100
31-07-2019,23300
31-07-2019,30200
31-07-2019,15100
31-07-2019,27300
31-07-2019,15300
31-07-2019,16100
31-07-2019,15100
31-07-2019,15800
01-08-2019,14500
01-08-2019,13100
01-08-2019,16100
01-08-2019,14800
01-08-2019,21100
01-08-2019,20600
01-08-2019,32600
01-08-2019,14500
01-08-2019,15100
01-08-2019,15000
01-08-2019,14800
01-08-2019,23000
02-08-2019,19900
02-08-2019,14100
02-08-2019,18000
02-08-2019,16400
02-08-2019,17300
02-08-2019,30800
02-08-2019,15800
02-08-2019,19900
02-08-2019,15800
03-08-2019,26000
03-08-2019,26100
03-08-2019,16000
03-08-2019,29100
03-08-2019,16800
03-08-2019,22800
03-08-2019,16600
03-08-2019,18800
03-08-2019,16400
03-08-2019,19300
03-08-2019,16400
03-08-2019,18300
03-08-2019,16300
03-08-2019,15800
03-08-2019,17900
03-08-2019,16400
04-08-2019,34800
04-08-2019,31600
04-08-2019,16400
04-08-2019,19300
04-08-2019,24300
04-08-2019,22100
04-08-2019,14800
04-08-2019,19500
04-08-2019,20600
04-08-2019,17800
05-08-2019,16300
05-08-2019,23100
05-08-2019,31400
05-08-2019,17000
05-08-2019,22300
05-08-2019,26600
05-08-2019,14800
05-08-2019,19600
05-08-2019,49300
05-08-2019,19800
05-08-2019,20800
05-08-2019,16300
07-08-2019,16300
07-08-2019,21200
07-08-2019,15300
07-08-2019,27300
07-08-2019,16100
07-08-2019,17600
07-08-2019,19500
07-08-2019,14800
07-08-2019,15000
07-08-2019,14100
07-08-2019,23800
08-08-2019,16100
08-08-2019,16400
08-08-2019,20300
08-08-2019,16500
08-08-2019,15100
08-08-2019,15300
08-08-2019,16000
08-08-2019,15800
08-08-2019,17300
08-08-2019,33200
08-08-2019,22300
08-08-2019,32400
08-08-2019,16100
08-08-2019,17000
08-08-2019,20500
09-08-2019,17000
09-08-2019,18600
09-08-2019,26000
09-08-2019,35800
09-08-2019,15100
10-08-2019,19600
10-08-2019,15300
10-08-2019,19100
10-08-2019,28600
10-08-2019,17300
10-08-2019,36800
10-08-2019,25300
10-08-2019,46200
10-08-2019,30200
10-08-2019,16600
10-08-2019,21200
10-08-2019,24400
11-08-2019,21800
11-08-2019,16800
11-08-2019,16000
11-08-2019,22800
11-08-2019,17800
11-08-2019,15800
11-08-2019,38900
11-08-2019,19600
11-08-2019,15300
11-08-2019,27900
11-08-2019,15800
11-08-2019,19300
11-08-2019,23100
11-08-2019,17300
12-08-2019,28400
12-08-2019,20800
12-08-2019,16300
12-08-2019,24300
12-08-2019,15800
12-08-2019,14800
12-08-2019,16300
12-08-2019,18300
12-08-2019,19100
12-08-2019,32100
12-08-2019,26000
14-08-2019,41200
14-08-2019,17800
14-08-2019,18300
14-08-2019,17300
14-08-2019,65600
14-08-2019,29000
14-08-2019,27300
14-08-2019,22300
14-08-2019,14300
14-08-2019,16400
15-08-2019,24100
15-08-2019,17300
15-08-2019,16100
15-08-2019,22100
15-08-2019,15100
15-08-2019,58000
15-08-2019,15000
15-08-2019,18900
15-08-2019,16400
16-08-2019,14800
16-08-2019,17800
16-08-2019,15100
16-08-2019,14100
16-08-2019,18300
16-08-2019,15800
17-08-2019,20100
17-08-2019,18300
17-08-2019,24100
17-08-2019,24300
17-08-2019,14800
17-08-2019,18800
17-08-2019,29600
17-08-2019,19800
17-08-2019,20300
17-08-2019,32600
17-08-2019,19000
18-08-2019,17300
18-08-2019,36900
18-08-2019,26600
18-08-2019,22800
18-08-2019,17800
18-08-2019,14100
18-08-2019,20000
18-08-2019,15000
18-08-2019,16000
18-08-2019,23800
18-08-2019,14300
18-08-2019,14800
18-08-2019,36100
18-08-2019,23000
18-08-2019,16300
19-08-2019,22800
19-08-2019,16800
19-08-2019,21300
19-08-2019,19300
19-08-2019,15800
19-08-2019,23600
19-08-2019,19300
19-08-2019,14800
19-08-2019,24300
19-08-2019,23800
19-08-2019,15300
19-08-2019,15300
19-08-2019,21600
19-08-2019,18800
21-08-2019,19900
21-08-2019,18800
21-08-2019,15300
21-08-2019,54000
21-08-2019,18300
21-08-2019,16100
21-08-2019,19300
21-08-2019,17500
21-08-2019,15800
21-08-2019,17000
21-08-2019,15600
21-08-2019,21100
21-08-2019,25000
21-08-2019,23000
22-08-2019,14800
22-08-2019,23300
22-08-2019,15800
22-08-2019,16400
22-08-2019,26600
22-08-2019,23400
22-08-2019,20600
22-08-2019,15800
22-08-2019,26000
23-08-2019,42200
23-08-2019,57700
23-08-2019,14100
23-08-2019,19800
23-08-2019,22000
24-08-2019,16000
24-08-2019,20100
24-08-2019,25600
24-08-2019,23100
24-08-2019,17300
24-08-2019,24900
24-08-2019,17300
24-08-2019,14300
24-08-2019,15600
24-08-2019,20800
24-08-2019,15800
24-08-2019,23300
24-08-2019,14800
24-08-2019,15300
25-08-2019,16400
25-08-2019,15300
25-08-2019,17300
25-08-2019,15300
25-08-2019,15300
25-08-2019,15800
25-08-2019,22100
25-08-2019,14100
25-08-2019,25300
25-08-2019,17400
25-08-2019,15100
25-08-2019,15600
26-08-2019,17800
26-08-2019,19900
26-08-2019,18000
26-08-2019,15500
26-08-2019,14800
26-08-2019,15300
26-08-2019,21600
26-08-2019,14000
26-08-2019,22800
28-08-2019,16300
28-08-2019,34100
28-08-2019,30400
28-08-2019,18000
28-08-2019,18600
28-08-2019,14800
28-08-2019,33400
28-08-2019,19300
29-08-2019,22300
29-08-2019,18300
29-08-2019,16100
29-08-2019,24000
29-08-2019,53800
29-08-2019,30800
29-08-2019,15500
29-08-2019,15000
29-08-2019,19000
29-08-2019,24300
29-08-2019,15100
30-08-2019,16400
30-08-2019,14800
30-08-2019,39300
30-08-2019,20600
30-08-2019,14300
30-08-2019,16000
30-08-2019,21200
30-08-2019,23100
30-08-2019,28800
30-08-2019,28300
30-08-2019,15500
30-08-2019,18800
31-08-2019,18600
31-08-2019,16300
