date,price
01-01-2000,2
02-01-2000,4
03-01-2000,6
04-01-2000,8
05-01-2000,10
06-01-2000,12
07-01-2000,14
08-01-2000,16
09-01-2000,18
10-01-2000,20
11-01-2000,22
12-01-2000,24
13-01-2000,26
14-01-2000,28
15-01-2000,30
16-01-2000,32
17-01-2000,34
18-01-2000,36
19-01-2000,38
20-01-2000,40
21-01-2000,42
22-01-2000,44
23-01-2000,46
24-01-2000,48
25-01-2000,50
26-01-2000,52
27-01-2000,54
28-01-2000,56
29-01-2000,58
30-01-2000,60
31-01-2000,62
01-02-2000,64
02-02-2000,66
03-02-2000,68
04-02-2000,70
05-02-2000,72
06-02-2000,74
07-02-2000,76
08-02-2000,78
09-02-2000,80
10-02-2000,82
11-02-2000,84
12-02-2000,86
13-02-2000,88
14-02-2000,90
15-02-2000,92
16-02-2000,94
17-02-2000,96
18-02-2000,98
19-02-2000,100
20-02-2000,102
21-02-2000,104
22-02-2000,106
23-02-2000,108
24-02-2000,110
25-02-2000,112
26-02-2000,114
27-02-2000,116
28-02-2000,118
29-02-2000,120
01-03-2000,122
02-03-2000,124
03-03-2000,126
04-03-2000,128
05-03-2000,130
06-03-2000,132
07-03-2000,134
08-03-2000,136
09-03-2000,138
10-03-2000,140
11-03-2000,142
12-03-2000,144
13-03-2000,146
14-03-2000,148
15-03-2000,150
16-03-2000,152
17-03-2000,154
18-03-2000,156
19-03-2000,158
20-03-2000,160
21-03-2000,162
22-03-2000,164
23-03-2000,166
24-03-2000,168
25-03-2000,170
26-03-2000,172
27-03-2000,174
28-03-2000,176
29-03-2000,178
30-03-2000,180
31-03-2000,182
01-04-2000,184
02-04-2000,186
03-04-2000,188
04-04-2000,190
05-04-2000,192
06-04-2000,194
07-04-2000,196
08-04-2000,198
09-04-2000,200
10-04-2000,202
11-04-2000,204
12-04-2000,206
13-04-2000,208
14-04-2000,210
15-04-2000,212
16-04-2000,214
17-04-2000,216
18-04-2000,218
19-04-2000,220
20-04-2000,222
21-04-2000,224
22-04-2000,226
23-04-2000,228
24-04-2000,230
25-04-2000,232
26-04-2000,234
27-04-2000,236
28-04-2000,238
29-04-2000,240
30-04-2000,242
01-05-2000,244
02-05-2000,246
03-05-2000,248
04-05-2000,250
05-05-2000,252
06-05-2000,254
07-05-2000,256
08-05-2000,258
09-05-2000,260
10-05-2000,262
11-05-2000,264
12-05-2000,266
13-05-2000,268
14-05-2000,270
15-05-2000,272
16-05-2000,274
17-05-2000,276
18-05-2000,278
19-05-2000,280
20-05-2000,282
21-05-2000,284
22-05-2000,286
23-05-2000,288
24-05-2000,290
25-05-2000,292
26-05-2000,294
27-05-2000,296
28-05-2000,298
29-05-2000,300
30-05-2000,302
31-05-2000,304
01-06-2000,306
02-06-2000,308
03-06-2000,310
04-06-2000,312
05-06-2000,314
06-06-2000,316
07-06-2000,318
08-06-2000,320
09-06-2000,322
10-06-2000,324
11-06-2000,326
12-06-2000,328
13-06-2000,330
14-06-2000,332
15-06-2000,334
16-06-2000,336
17-06-2000,338
18-06-2000,340
19-06-2000,342
20-06-2000,344
21-06-2000,346
22-06-2000,348
23-06-2000,350
24-06-2000,352
25-06-2000,354
26-06-2000,356
27-06-2000,358
28-06-2000,360
29-06-2000,362
30-06-2000,364
01-07-2000,366
02-07-2000,368
03-07-2000,370
04-07-2000,372
05-07-2000,374
06-07-2000,376
07-07-2000,378
08-07-2000,380
09-07-2000,382
10-07-2000,384
11-07-2000,386
12-07-2000,388
13-07-2000,390
14-07-2000,392
15-07-2000,394
16-07-2000,396
17-07-2000,398
18-07-2000,400
19-07-2000,402
20-07-2000,404
21-07-2000,406
22-07-2000,408
23-07-2000,410
24-07-2000,412
25-07-2000,414
26-07-2000,416
27-07-2000,418
28-07-2000,420
29-07-2000,422
30-07-2000,424
31-07-2000,426
01-08-2000,428
02-08-2000,430
03-08-2000,432
04-08-2000,434
05-08-2000,436
06-08-2000,438
07-08-2000,440
08-08-2000,442
09-08-2000,444
10-08-2000,446
11-08-2000,448
12-08-2000,450
13-08-2000,452
14-08-2000,454
15-08-2000,456
16-08-2000,458
17-08-2000,460
18-08-2000,462
19-08-2000,464
20-08-2000,466
21-08-2000,468
22-08-2000,470
23-08-2000,472
24-08-2000,474
25-08-2000,476
26-08-2000,478
27-08-2000,480
28-08-2000,482
29-08-2000,484
30-08-2000,486
31-08-2000,488
01-09-2000,490
02-09-2000,492
03-09-2000,494
04-09-2000,496
05-09-2000,498
06-09-2000,500
07-09-2000,502
08-09-2000,504
09-09-2000,506
10-09-2000,508
11-09-2000,510
12-09-2000,512
13-09-2000,514
14-09-2000,516
15-09-2000,518
16-09-2000,520
17-09-2000,522
18-09-2000,524
19-09-2000,526
20-09-2000,528
21-09-2000,530
22-09-2000,532
23-09-2000,534
24-09-2000,536
25-09-2000,538
26-09-2000,540
27-09-2000,542
28-09-2000,544
29-09-2000,546
30-09-2000,548
01-10-2000,550
02-10-2000,552
03-10-2000,554
04-10-2000,556
05-10-2000,558
06-10-2000,560
07-10-2000,562
08-10-2000,564
09-10-2000,566
10-10-2000,568
11-10-2000,570
12-10-2000,572
13-10-2000,574
14-10-2000,576
15-10-2000,578
16-10-2000,580
17-10-2000,582
18-10-2000,584
19-10-2000,586
20-10-2000,588
21-10-2000,590
22-10-2000,592
23-10-2000,594
24-10-2000,596
25-10-2000,598
26-10-2000,600
27-10-2000,602
28-10-2000,604
29-10-2000,606
30-10-2000,608
31-10-2000,610
01-11-2000,612
02-11-2000,614
03-11-2000,616
04-11-2000,618
05-11-2000,620
06-11-2000,622
07-11-2000,624
08-11-2000,626
09-11-2000,628
10-11-2000,630
11-11-2000,632
12-11-2000,634
13-11-2000,636
14-11-2000,638
15-11-2000,640
16-11-2000,642
17-11-2000,644
18-11-2000,646
19-11-2000,648
20-11-2000,650
21-11-2000,652
22-11-2000,654
23-11-2000,656
24-11-2000,658
25-11-2000,660
26-11-2000,662
27-11-2000,664
28-11-2000,666
29-11-2000,668
30-11-2000,670
01-12-2000,672
02-12-2000,674
03-12-2000,676
04-12-2000,678
05-12-2000,680
06-12-2000,682
07-12-2000,684
08-12-2000,686
09-12-2000,688
10-12-2000,690
11-12-2000,692
12-12-2000,694
13-12-2000,696
14-12-2000,698
15-12-2000,700
16-12-2000,702
17-12-2000,704
18-12-2000,706
19-12-2000,708
20-12-2000,710
21-12-2000,712
22-12-2000,714
23-12-2000,716
24-12-2000,718
25-12-2000,720
26-12-2000,722
27-12-2000,724
28-12-2000,726
29-12-2000,728
30-12-2000,730
31-12-2000,732
01-01-2001,734
02-01-2001,736
03-01-2001,738
04-01-2001,740
05-01-2001,742
06-01-2001,744
07-01-2001,746
08-01-2001,748
09-01-2001,750
10-01-2001,752
11-01-2001,754
12-01-2001,756
13-01-2001,758
14-01-2001,760
15-01-2001,762
16-01-2001,764
17-01-2001,766
18-01-2001,768
19-01-2001,770
20-01-2001,772
21-01-2001,774
22-01-2001,776
23-01-2001,778
24-01-2001,780
25-01-2001,782
26-01-2001,784
27-01-2001,786
28-01-2001,788
29-01-2001,790
30-01-2001,792
31-01-2001,794
01-02-2001,796
02-02-2001,798
03-02-2001,800
04-02-2001,802
05-02-2001,804
06-02-2001,806
07-02-2001,808
08-02-2001,810
09-02-2001,812
10-02-2001,814
11-02-2001,816
12-02-2001,818
13-02-2001,820
14-02-2001,822
15-02-2001,824
16-02-2001,826
17-02-2001,828
18-02-2001,830
19-02-2001,832
20-02-2001,834
21-02-2001,836
22-02-2001,838
23-02-2001,840
24-02-2001,842
25-02-2001,844
26-02-2001,846
27-02-2001,848
28-02-2001,850
01-03-2001,852
02-03-2001,854
03-03-2001,856
04-03-2001,858
05-03-2001,860
06-03-2001,862
07-03-2001,864
08-03-2001,866
09-03-2001,868
10-03-2001,870
11-03-2001,872
12-03-2001,874
13-03-2001,876
14-03-2001,878
15-03-2001,880
16-03-2001,882
17-03-2001,884
18-03-2001,886
19-03-2001,888
20-03-2001,890
21-03-2001,892
22-03-2001,894
23-03-2001,896
24-03-2001,898
25-03-2001,900
26-03-2001,902
27-03-2001,904
28-03-2001,906
29-03-2001,908
30-03-2001,910
31-03-2001,912
01-04-2001,914
02-04-2001,916
03-04-2001,918
04-04-2001,920
05-04-2001,922
06-04-2001,924
07-04-2001,926
08-04-2001,928
09-04-2001,930
10-04-2001,932
11-04-2001,934
12-04-2001,936
13-04-2001,938
14-04-2001,940
15-04-2001,942
16-04-2001,944
17-04-2001,946
18-04-2001,948
19-04-2001,950
20-04-2001,952
21-04-2001,954
22-04-2001,956
23-04-2001,958
24-04-2001,960
25-04-2001,962
26-04-2001,964
27-04-2001,966
28-04-2001,968
